root,cell,result_path,result_sha256,actual_episodes,checkpoint_sha256,runtime_git_commit,runtime_source_manifest_sha256,runtime_git_dirty,cond_bars,cond_seed,cond_num_envs,cond_robot_name,cond_goal_dist_min_m,cond_goal_dist_max_m,cond_action_selection,cond_reflection_mode,cond_distractor_count,cond_speed_governor_mode,cond_speed_governor_half_width_m,cond_speed_governor_margin_m,cond_speed_governor_fixed_mps,cond_speed_governor_free_mps,cond_speed_governor_slow_m,cond_speed_governor_release_m,cond_speed_governor_brake_mps2,cond_speed_governor_reaction_s,cond_speed_governor_ttc_s,cond_speed_governor_width_per_mps,cond_speed_governor_width_per_open_m,cond_speed_governor_width_open_ref_m,cond_speed_governor_width_max_m,cond_speed_governor_lateral_margin_m,cond_speed_governor_yaw_cap_radps,n_captured,rate_captured,n_crash,rate_crash,n_timeout,rate_timeout,gov_intervention_rate,gov_mean_executed_mps,gov_mean_requested_mps,gov_samples,contacts,contact_vertical_out,contact_behind,contact_lateral,contact_no_return,contact_in_corridor,contact_records_path,contact_records_rows,frame_samples_rows,req_gov,req_gov_half_width_m,req_gov_width_max_m,req_gov_width_open_ref_m,req_gov_width_per_open_m
A7_ref5in_s509,dwa_arc,results/navrl_arc_attribution_seed509/dwa_arc/70bars.json,a6e74dd222ee732e9e9fc0bf559d17073359596a1e88c5f936efa662dc7ba958,2049,197ea26999d6bb9c,742022e818d5,a0be87ff3fca74b8,False,70,509,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1623,0.7920937042459737,214,0.10444119082479258,212,0.10346510492923378,0.04074970657276995,2.2479769667341376,2.2864528333931604,518016,92,0,1,30,33,28,,,,,,,,
A7_ref5in_s509,riskcap,results/navrl_arc_attribution_seed509/riskcap/70bars.json,d8afbbe97ac88d965a7efc40526e34974fa77832ab6277ad5c9893c918372124,2051,197ea26999d6bb9c,742022e818d5,a0be87ff3fca74b8,False,70,509,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1463,0.7133105802047781,385,0.18771331058020477,203,0.09897610921501707,0.0575855559125964,2.2407261273943306,2.2804866242346904,497920,244,0,13,141,41,49,,,,,,,,
A7_ref5in_s509,riskcap_arc,results/navrl_arc_attribution_seed509/riskcap_arc/70bars.json,dfbde016373448b94cc13e423f60deaefcafb4bfd900903b46cd96cbf97e91e4,2050,197ea26999d6bb9c,742022e818d5,a0be87ff3fca74b8,False,70,509,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,riskcap_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1440,0.7024390243902439,392,0.19121951219512195,218,0.10634146341463414,0.06325296504369537,2.2271798741392486,2.264950624050096,512640,264,0,8,163,45,48,,,,,,,,
A7_ref5in_s509,stopcap,results/navrl_arc_attribution_seed509/stopcap/70bars.json,6c9a73004150c62e6bed367fcc0f89c8e5b0f58c8d481305fe3a7c80899f3f9f,2049,197ea26999d6bb9c,742022e818d5,a0be87ff3fca74b8,False,70,509,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,stopcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1392,0.6793557833089312,252,0.12298682284040996,405,0.19765739385065886,0.1930801282051282,1.8498741409813222,2.3885124053013724,624000,130,0,1,28,50,51,,,,,,,,
A7_ref5in_s491,dwa_arc,results/navrl_arc_attribution_seed491/dwa_arc/70bars.json,002a1591d3b82b4f88ddb8461e705be9ba23578bc008d3d40b147615568462d2,2049,197ea26999d6bb9c,742022e818d5,09a0273b09f8a4af,False,70,491,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1598,0.7798926305514885,240,0.1171303074670571,211,0.10297706198145437,0.039443924803729144,2.2399092622457566,2.277197874340072,521728,94,0,0,36,25,33,,,,,,,,
A7_ref5in_s491,riskcap,results/navrl_arc_attribution_seed491/riskcap/70bars.json,bf7b9efee07262dcbc9e1571204c5e9347ed9e5923065aca2325abcb94d32f30,2049,197ea26999d6bb9c,742022e818d5,09a0273b09f8a4af,False,70,491,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1444,0.7047340165934602,376,0.18350414836505613,229,0.11176183504148365,0.05768776756484513,2.225605571583812,2.2657068655925094,508288,233,0,8,136,46,43,,,,,,,,
A7_ref5in_s491,riskcap_arc,results/navrl_arc_attribution_seed491/riskcap_arc/70bars.json,5cfb9c5978e636a800ce1ff149e844932d9b319e5b14db9a17b23643ef1a5507,2049,197ea26999d6bb9c,742022e818d5,09a0273b09f8a4af,False,70,491,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,riskcap_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1468,0.716447047340166,398,0.19424109321620303,183,0.08931185944363104,0.06258396133682831,2.2416018267399744,2.2788767108034174,488320,245,0,6,154,46,39,,,,,,,,
A7_ref5in_s491,stopcap,results/navrl_arc_attribution_seed491/stopcap/70bars.json,ca806269ba01a39a35eb6754e3a76a137be0470231e67d1fbee42fb7c5109a4a,2049,197ea26999d6bb9c,742022e818d5,09a0273b09f8a4af,False,70,491,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,stopcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1367,0.6671547096144461,263,0.1283552952659834,419,0.20448999511957053,0.20261713124871425,1.8339466899029269,2.4013250102590686,622208,116,0,1,41,34,40,,,,,,,,
A7_ep25000_205_s49,dwa_arc,results/navrl_arc_attribution_205bars_seed49/dwa_arc/205bars.json,030e2a8dbaa53f97e559cc8f1d8ad34a696e40b06aaae82c55c6c59612b28487,2049,f702213936601860,742022e818d5,921a964890491d71,False,205,49,128,navrl_quad,6.0,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1652,0.8062469497315764,342,0.16691068814055637,55,0.026842362127867253,0.20393307951757972,2.7655548392392677,2.955458876634576,313088,320,0,2,215,25,78,,,,,,,,
A7_ep25000_205_s49,riskcap,results/navrl_arc_attribution_205bars_seed49/riskcap/205bars.json,eba4803f22d0730501d07068f1552184420388701f4649f18751a29141c61901,2050,f702213936601860,742022e818d5,921a964890491d71,False,205,49,128,navrl_quad,6.0,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1675,0.8170731707317073,327,0.15951219512195122,48,0.023414634146341463,0.2565882525619129,2.7413389366564176,2.9529520098307955,299776,304,0,5,220,25,54,,,,,,,,
